Struct,Site,StrX,StrY,CN,A,B,C,alpha,beta,dG,abs
alpha,S1,-2,-2,5,0.267827982,1.204947613,0.773053024,2.447793477,1.612158319,-0.335662018,0.335662018
alpha,S1,-2,0,5,0.06643167,0.927888406,0.208626683,1.970584099,1.238031461,-0.144713958,0.144713958
alpha,S1,-2,2,5,-0.142714816,0.660895877,-0.291282347,1.486658352,0.86038405,-0.035503527,0.035503527
alpha,S1,-1,-1,5,0.069277053,0.925283691,0.199484255,1.981597982,1.244911246,-0.090480908,0.090480908
alpha,S1,-1,0,5,-0.02738085,0.789110827,-0.072008177,1.74585109,1.058403542,-0.012938511,0.012938511
alpha,S1,-1,1,5,-0.129961779,0.654967356,-0.325932063,1.509877429,0.872954503,0.026354949,0.026354949
alpha,S1,0,-2,5,0.065379828,0.926074968,0.211000672,1.97047545,1.236697131,-0.146480107,0.146480107
alpha,S1,0,-1,5,-0.032102142,0.787794543,-0.068988166,1.745052638,1.058997189,-0.012282993,0.012282993
alpha,S1,0,0,5,-0.128595298,0.651959545,-0.335836727,1.515613247,0.878207864,0.047488336,0.047488336
alpha,S1,0,1,5,-0.224766029,0.519294616,-0.587133204,1.286406484,0.69550662,0.09012466,0.09012466
alpha,S1,0,2,5,-0.323523329,0.387961904,-0.822506926,1.05439885,0.512961325,0.114985661,0.114985661
alpha,S1,1,-1,5,-0.128168134,0.653657828,-0.323475629,1.510257685,0.872683226,0.026031361,0.026031361
alpha,S1,1,0,5,-0.22894457,0.517767632,-0.584774358,1.28334376,0.695130769,0.087488444,0.087488444
alpha,S1,1,1,5,-0.324021913,0.384928826,-0.832623852,1.057728373,0.516975454,0.128858929,0.128858929
alpha,S1,2,-2,5,-0.140738652,0.662006885,-0.289344272,1.487221197,0.861185436,-0.036224677,0.036224677
alpha,S1,2,0,5,-0.323640923,0.386880174,-0.818531089,1.054641532,0.512141751,0.114577423,0.114577423
alpha,S1,2,2,5,-0.516864618,0.124459802,-1.29043634,0.606582495,0.160218623,0.179129194,0.179129194
alpha,S2,-2,-2,6,1.840657563,-0.507581818,1.789071182,1.038908085,2.043855042,-0.954798642,0.954798642
alpha,S2,-2,0,6,1.610991866,-0.731207851,1.13474027,0.58924969,1.661739346,-0.766211675,0.766211675
alpha,S2,-2,2,6,1.377853758,-0.94682662,0.549660315,0.135520557,1.273055822,-0.664448708,0.664448708
alpha,S2,-1,-1,6,1.617004352,-0.732960754,1.121382975,0.595522664,1.670476787,-0.725508397,0.725508397
alpha,S2,-1,0,6,1.50588594,-0.841378917,0.807989919,0.375236782,1.480177441,-0.657637295,0.657637295
alpha,S2,-1,1,6,1.390542082,-0.950730441,0.510084635,0.149480368,1.290352001,-0.618270811,0.618270811
alpha,S2,0,-2,6,1.609258986,-0.732353598,1.133734307,0.586473112,1.662053772,-0.767825613,0.767825613
alpha,S2,0,-1,6,1.502791675,-0.843693136,0.806491404,0.370616583,1.479823626,-0.656736035,0.656736035
alpha,S2,0,0,6,1.39467156,-0.952366761,0.496185529,0.153374695,1.296251033,-0.602774731,0.602774731
alpha,S2,0,1,6,1.286344072,-1.058311045,0.203918459,-0.063408056,1.110684743,-0.564698484,0.564698484
alpha,S2,0,2,6,1.173787531,-1.165302168,-0.072662402,-0.286284033,0.92463137,-0.538449498,0.538449498
alpha,S2,1,-1,6,1.390754904,-0.951115227,0.509586034,0.149053452,1.290973909,-0.618557178,0.618557178
alpha,S2,1,0,6,1.281895768,-1.060532867,0.202412626,-0.069347632,1.109072468,-0.563536204,0.563536204
alpha,S2,1,1,6,1.176662433,-1.16647947,-0.086560022,-0.283398557,0.928551934,-0.523397414,0.523397414
alpha,S2,2,-2,6,1.376141992,-0.947845908,0.549251047,0.133306295,1.273318897,-0.663032818,0.663032818
alpha,S2,2,0,6,1.173656567,-1.164897311,-0.072555848,-0.286385054,0.923811734,-0.541559826,0.541559826
alpha,S2,2,2,6,0.96240234,-1.374928662,-0.626257091,-0.715463174,0.565965846,-0.468406479,0.468406479
alpha1,S1,0,0,5,-0.094141814,0.355790392,0.420008757,0.751284675,0.909627114,0.2179852,0.2179852
alpha1,S1,0,2,5,-0.218220497,0.077549475,-0.112059407,0.237655587,0.570060906,0.263947043,0.263947043
alpha1,S1,1,-1,5,-0.152250753,0.380591167,0.419667755,0.8269515,0.898945139,0.219838099,0.219838099
alpha1,S1,2,2,5,-0.465956664,-0.138233706,-0.654556855,-0.142340605,0.201114957,0.317573213,0.317573213
alpha1,S2,0,0,6,1.341298663,-0.883568429,0.542350064,0.128219163,0.376944863,-0.062092577,0.062092577
alpha1,S2,0,2,6,1.111213657,-1.085682929,-0.022551055,-0.306549595,0.056780687,-0.033846948,0.033846948
alpha1,S2,1,-1,6,1.350354999,-0.869625574,0.519011455,0.14512787,0.359511938,-0.057720955,0.057720955
alpha1,S2,2,2,6,0.915559177,-1.266543684,-0.599768337,-0.735152401,-0.315719022,0.076421628,0.076421628
alpha1,S3,0,0,5,-0.161203234,0.292964231,-0.373693832,0.811373365,0.585912262,0.035189917,0.035189917
alpha1,S3,0,2,5,-0.390298672,0.047374443,-0.851618153,0.391843854,0.204999593,0.113508096,0.113508096
alpha1,S3,1,-1,5,-0.120822491,0.275766302,-0.36052911,0.798872741,0.620572543,0.021761649,0.021761649
alpha1,S3,2,2,5,-0.553425797,-0.223935134,-1.301190309,-0.063969952,-0.124042003,0.175035222,0.175035222
B1,S1,0,0,5,-0.213943916,0.791384183,-1.635980431,1.887412727,0.056817704,-0.049301062,0.049301062
B1,S2,0,0,5,-0.200812173,0.342730044,0.005076884,0.676940329,0.494183607,0.083406237,0.083406237
B1,S3,0,0,4,-1.559340942,0.920121649,-0.143398105,0.030235778,0.885726549,0.133342301,0.133342301
B1,S4,0,0,5,-0.22253426,0.316708093,-0.032732116,0.657495011,0.490991625,0.182257434,0.182257434
B1,S5,0,0,5,-0.197530619,0.204869777,-0.117986561,0.588290892,0.745018248,-0.018069761,0.018069761
B1,S6,0,0,6,1.252323147,-1.02744763,-0.015882846,-0.011833852,0.266429795,0.080672807,0.080672807
B1,S7,0,0,6,1.18921962,-0.379615291,-0.046005119,1.034205167,0.255962012,-0.286218201,0.286218201
B12,S1,-2,-2,4,-1.295972684,1.397905493,-0.501407674,0.474772215,0.266253876,-0.214026952,0.214026952
B12,S1,-2,0,4,-1.419701682,1.099306666,-0.951897908,0.003047864,-0.079525668,-0.069311997,0.069311997
B12,S1,-2,2,4,-1.54853758,0.810432793,-1.351905665,-0.454893672,-0.418766977,0.018973581,0.018973581
B12,S1,-1,-1,4,-1.47334159,1.098542095,-0.961865048,0.045400603,-0.079271799,-0.021276932,0.021276932
B12,S1,-1,0,4,-1.532813164,0.951390039,-1.177519498,-0.193280035,-0.252511958,0.030950713,0.030950713
B12,S1,-1,1,4,-1.596244531,0.80700702,-1.378088533,-0.420318696,-0.420756831,0.07688691,0.07688691
B12,S1,0,-2,4,-1.527062421,1.101312785,-0.95908887,0.08619086,-0.080346168,-0.008531802,0.008531802
B12,S1,0,-1,4,-1.585324765,0.953245243,-1.180063777,-0.151634781,-0.252947219,0.038497382,0.038497382
B12,S1,0,0,4,-1.642910533,0.808108584,-1.389673946,-0.388060145,-0.42530198,0.075945946,0.075945946
B12,S1,0,1,4,-1.704656824,0.664440857,-1.585998333,-0.618811351,-0.594513894,0.108327164,0.108327164
B12,S1,0,2,4,-1.77282809,0.522578823,-1.769371561,-0.840318178,-0.759017614,0.130332604,0.130332604
B12,S1,1,-1,4,-1.70251947,0.810456251,-1.383736751,-0.333051513,-0.418735588,0.070645947,0.070645947
B12,S1,1,0,4,-1.758431322,0.665899571,-1.588800751,-0.572471439,-0.591301678,0.098591194,0.098591194
B12,S1,1,1,4,-1.819285134,0.523892422,-1.780145176,-0.803892603,-0.76084677,0.123208764,0.123208764
B12,S1,2,-2,4,-1.759520247,0.81554035,-1.367755055,-0.280131901,-0.413087919,0.058965806,0.058965806
B12,S1,2,0,4,-1.87509255,0.526921006,-1.774709029,-0.752878876,-0.75651088,0.10991169,0.10991169
B12,S1,2,2,4,-1.991337933,0.24869361,-2.134748812,-1.219592912,-1.095674861,0.14751512,0.14751512
B12,S2,-2,-2,6,1.49385967,-1.300276386,1.475216348,-0.628948305,-0.476268625,0.821227624,0.821227624
B12,S2,-2,0,6,1.26216765,-1.540871761,0.930196561,-1.084914184,-0.75003742,1.028324057,1.028324057
B12,S2,-2,2,6,1.039124316,-1.772010469,0.416197247,-1.528914142,-1.026590987,1.092698923,1.092698923
B12,S2,-1,-1,6,1.271031986,-1.490358546,0.873477132,-1.034064447,-0.818530874,0.991468605,0.991468605
B12,S2,-1,0,6,1.153370625,-1.608726204,0.610836454,-1.26405936,-0.951610548,1.060722654,1.060722654
B12,S2,-1,1,6,1.043139673,-1.72466243,0.352329499,-1.48475716,-1.0888891,1.097243094,1.097243094
B12,S2,0,-2,6,1.279792172,-1.438106595,0.834844097,-0.986504696,-0.887948218,0.92395638,0.92395638
B12,S2,0,-1,6,1.161701131,-1.557656803,0.566794003,-1.215414844,-1.020600397,1.016517612,1.016517612
B12,S2,0,0,6,1.045129943,-1.674799936,0.306007562,-1.443970384,-1.156010578,1.076503931,1.076503931
B12,S2,0,1,6,0.931946914,-1.790079918,0.05399146,-1.667017104,-1.289467877,1.106838208,1.106838208
B12,S2,0,2,6,0.826105687,-1.902970083,-0.19013576,-1.880625551,-1.420305375,1.122340043,1.122340043
B12,S2,1,-1,6,1.064569309,-1.623352507,0.270390075,-1.384894097,-1.223481944,1.02703884,1.02703884
B12,S2,1,0,6,0.94519629,-1.73986235,0.015757079,-1.614894398,-1.353399593,1.08366198,1.08366198
B12,S2,1,1,6,0.831328039,-1.854113836,-0.231646627,-1.837934416,-1.485956263,1.111539238,1.111539238
B12,S2,2,-2,6,1.08550576,-1.569626864,0.250947553,-1.330416239,-1.292371934,0.956045016,0.956045016
B12,S2,2,0,6,0.848249398,-1.803066471,-0.260617181,-1.783406331,-1.556653463,1.081472466,1.081472466
B12,S2,2,2,6,0.616101359,-2.027378701,-0.737252123,-2.232165361,-1.817100362,1.125892594,1.125892594
B12,S3,-2,-2,5,-0.067277531,0.461236278,0.724012424,0.586883499,-0.503382609,-0.180610703,0.180610703
B12,S3,-2,0,5,-0.310718558,0.235639133,0.153480203,0.15900856,-0.84848329,0.014923812,0.014923812
B12,S3,-2,2,5,-0.54364546,0.015643334,-0.363385418,-0.260811624,-1.187009794,0.123627493,0.123627493
B12,S3,-1,-1,5,-0.250552695,0.229490327,0.140761594,0.145379507,-0.830227659,0.043440804,0.043440804
B12,S3,-1,0,5,-0.375082498,0.118371224,-0.129399126,-0.068504553,-1.003158228,0.114299129,0.114299129
B12,S3,-1,1,5,-0.490919241,0.008337584,-0.390123915,-0.276617347,-1.171478429,0.164454761,0.164454761
B12,S3,0,-2,5,-0.191583163,0.226480147,0.147751966,0.131540794,-0.814380092,0.021026461,0.021026461
B12,S3,0,-1,5,-0.315742827,0.114419907,-0.131190252,-0.082067914,-0.98641675,0.106758111,0.106758111
B12,S3,0,0,5,-0.440344195,0.003739977,-0.396241714,-0.296681114,-1.159014205,0.165728648,0.165728648
B12,S3,0,1,5,-0.558429775,-0.105250575,-0.649413228,-0.505112141,-1.327771951,0.210077166,0.210077166
B12,S3,0,2,5,-0.668969778,-0.212616049,-0.891513162,-0.705450142,-1.490493033,0.237891127,0.237891127
B12,S3,1,-1,5,-0.370508674,0.00136847,-0.394781304,-0.298125916,-1.136143923,0.151645993,0.151645993
B12,S3,1,0,5,-0.496610887,-0.108447416,-0.652152158,-0.511574091,-1.308184077,0.202844011,0.202844011
B12,S3,1,1,5,-0.616046432,-0.216588174,-0.898923177,-0.720795799,-1.476777293,0.238812987,0.238812987
B12,S3,2,-2,5,-0.305108638,0.001201161,-0.373354401,-0.301383954,-1.116829102,0.119267884,0.119267884
B12,S3,2,0,5,-0.550879913,-0.21889773,-0.895525558,-0.727465475,-1.457329721,0.230057422,0.230057422
B12,S3,2,2,5,-0.793793463,-0.431986725,-1.359209908,-1.147332442,-1.794413598,0.283634241,0.283634241
trigonal,S1,-2,-2,7,0.333353717,1.851870137,2.857162742,1.184308842,1.212071631,-0.287723626,0.287723626
trigonal,S1,-2,0,7,0.137990599,1.547572135,2.18885849,0.746650251,0.857833679,-0.292778817,0.292778817
trigonal,S1,-2,2,7,-0.074883956,1.246448372,1.568352862,0.269627574,0.471795947,-0.297352559,0.297352559
trigonal,S1,-1,-1,7,0.158640963,1.563996565,2.176260413,0.794635436,0.896104969,-0.290292595,0.290292595
trigonal,S1,-1,0,7,0.067571963,1.415590229,1.85686049,0.590621981,0.730968289,-0.294150382,0.294150382
trigonal,S1,-1,1,7,-0.025033701,1.268781328,1.550511667,0.383183205,0.563116496,-0.296558493,0.296558493
trigonal,S1,0,-2,7,0.14494466,1.572871132,2.163380095,0.763933728,0.871241359,-0.296816222,0.296816222
trigonal,S1,0,-1,7,0.069084304,1.427512025,1.842731471,0.593796856,0.73332822,-0.301277586,0.301277586
trigonal,S1,0,0,7,0.037750268,1.295312319,1.554718274,0.523922689,0.677009004,-0.306546015,0.306546015
trigonal,S1,0,1,7,0.177293402,1.208640092,1.350945127,0.836418985,0.92993309,-0.309767984,0.309767984
trigonal,S1,0,2,7,0.077089288,1.063470169,1.056638398,0.611887793,0.748163451,-0.311595148,0.311595148
trigonal,S1,1,-1,7,0.256118005,1.361051518,1.643467794,1.012975871,1.072817877,-0.323935711,0.323935711
trigonal,S1,1,0,7,0.163394044,1.214725449,1.329929826,0.805283221,0.904727773,-0.328560542,0.328560542
trigonal,S1,1,1,7,0.071975529,1.070737036,1.030615034,0.600498205,0.738972321,-0.332535434,0.332535434
trigonal,S1,2,-2,7,0.238673167,1.369019573,1.645303413,0.973914661,1.041219919,-0.351005111,0.351005111
trigonal,S1,2,0,7,0.063317409,1.078920995,1.019653882,0.58110587,0.723272312,-0.356711223,0.356711223
trigonal,S1,2,2,7,-0.120454351,0.794810604,0.44494731,0.169421241,0.390033406,-0.362643706,0.362643706
x3,S1,-2,-2,4,-1.311655942,1.214966397,-0.19749634,0.265369979,-0.413836214,-0.40554221,0.40554221
x3,S1,-1,-1,4,-1.477097541,0.935834329,-0.655591048,-0.13604879,-0.728634048,-0.109720921,0.109720921
x3,S1,0,0,4,-1.641309146,0.665640643,-1.088362218,-0.617465763,-1.080916914,-0.001231945,0.001231945
x3,S1,1,1,4,-1.8048421,0.39562549,-1.476156803,-0.926609553,-1.349817857,0.040750673,0.040750673
x3,S1,2,2,4,-1.965544321,0.133837575,-1.8378471,-1.315985121,-1.656554783,0.051331707,0.051331707
x3,S2,-2,-2,5,0.333692717,-0.473476328,1.728002968,-1.025576602,-0.650977197,0.062623058,0.062623058
x3,S2,-1,-1,5,0.149644294,-0.680714801,1.095149367,-1.412328077,-0.963250758,0.285232051,0.285232051
x3,S2,0,0,5,-0.082978016,-0.866539345,0.506829819,-1.838172853,-1.307003186,0.393699244,0.393699244
x3,S2,1,1,5,-0.212060992,-1.080873284,-0.059695843,-2.174526341,-1.580556736,0.455589798,0.455589798
x3,S2,2,2,5,-0.389484238,-1.274090293,-0.58044745,-2.551509723,-1.883663607,0.495913172,0.495913172
